GEOID,NAME,variable,estimate,moe
0687090,"Zayante CDP, California",B01003_001,451,172
0616420,"Coronita CDP, California",B01003_001,3235,689
0651890,"North Gate CDP, California",B01003_001,900,375
0653714,"Olivehurst CDP, California",B01003_001,17416,1162
0685208,"Whitewater CDP, California",B01003_001,1194,336
0683460,"Warm Springs CDP, California",B01003_001,1876,568
0672156,"Sky Valley CDP, California",B01003_001,2307,398
0646646,"Mead Valley CDP, California",B01003_001,20581,2452
0639645,"Lake Mathews CDP, California",B01003_001,6494,1268
0607036,"Bloomfield CDP, California",B01003_001,197,104
0611376,"Carmet CDP, California",B01003_001,60,47
0628014,"Fulton CDP, California",B01003_001,749,338
0629420,"Geyserville CDP, California",B01003_001,837,213
0670712,"Sea Ranch CDP, California",B01003_001,1224,238
0681778,"Valley Ford CDP, California",B01003_001,0,13
0625488,"Franklin CDP (Merced County), California",B01003_001,7581,1438
0645006,"McSwain CDP, California",B01003_001,5042,777
0608828,"Buena Vista CDP, California",B01003_001,713,297
0657148,"Pine Grove CDP, California",B01003_001,3386,598
0659896,"Red Corral CDP, California",B01003_001,1271,431
0670266,"Saranap CDP, California",B01003_001,6136,812
0651622,"Norris Canyon CDP, California",B01003_001,954,294
0619440,"Dogtown CDP, California",B01003_001,2912,599
0633294,"Herald CDP, California",B01003_001,1050,318
0634484,"Hood CDP, California",B01003_001,314,290
0646226,"Mather CDP, California",B01003_001,4712,549
0686804,"Yolo CDP, California",B01003_001,281,224
0656546,"Penryn CDP, California",B01003_001,1112,331
0657240,"Pine Mountain Club CDP, California",B01003_001,2195,552
0658456,"Post Mountain CDP, California",B01003_001,101,119
0624568,"Flournoy CDP, California",B01003_001,95,58
0645092,"Mad River CDP, California",B01003_001,322,206
0636135,"Hypericum CDP, California",B01003_001,207,134
0664378,"Salyer CDP, California",B01003_001,495,191
0612669,"Channel Islands Beach CDP, California",B01003_001,2708,596
0607848,"Boyes Hot Springs CDP, California",B01003_001,7374,1270
0662910,"Rosemont CDP, California",B01003_001,23845,1325
0633549,"Hidden Valley Lake CDP, California",B01003_001,5852,860
0681358,"Upper Lake CDP, California",B01003_001,954,418
0638114,"Kentfield CDP, California",B01003_001,7410,565
0633532,"Hidden Meadows CDP, California",B01003_001,3698,789
0631470,"Guerneville CDP, California",B01003_001,4764,503
0678456,"Thermal CDP, California",B01003_001,1352,620
0625534,"Frazier Park CDP, California",B01003_001,2719,968
0639728,"Lake Shastina CDP, California",B01003_001,3008,374
0683262,"Walker CDP, California",B01003_001,499,159
0681302,"University of California-Davis CDP, California",B01003_001,8229,622
0661108,"Rivergrove CDP, California",B01003_001,74,63
0660928,"Rio del Mar CDP, California",B01003_001,9007,866
0683906,"Weitchpec CDP, California",B01003_001,79,64
0607172,"Bluewater CDP, California",B01003_001,167,77
0651924,"North Highlands CDP, California",B01003_001,48083,2760
0616728,"Covelo CDP, California",B01003_001,1359,424
0610088,"Cambrian Park CDP, California",B01003_001,3551,570
0619339,"Discovery Bay CDP, California",B01003_001,15362,1034
0616651,"Country Club CDP, California",B01003_001,9686,1070
0638065,"Kennedy CDP, California",B01003_001,2516,601
0640326,"La Presa CDP, California",B01003_001,38618,2046
0628182,"Garden Acres CDP, California",B01003_001,10124,1247
0659052,"Quartz Hill CDP, California",B01003_001,10089,990
0637533,"Jones Valley CDP, California",B01003_001,969,258
0641166,"Lemoore Station CDP, California",B01003_001,6403,714
0622622,"Empire CDP, California",B01003_001,3726,566
0663134,"Round Mountain CDP, California",B01003_001,100,45
0608172,"Bret Harte CDP, California",B01003_001,4926,790
0664056,"Sage CDP, California",B01003_001,2818,742
0653882,"Ono CDP, California",B01003_001,27,33
0648998,"Montgomery Creek CDP, California",B01003_001,214,125
0621916,"Elfin Forest CDP, California",B01003_001,595,307
0648410,"Modjeska CDP, California",B01003_001,756,289
0662756,"Romoland CDP, California",B01003_001,2738,758
0623350,"Fairview CDP, California",B01003_001,10583,940
0604938,"Bell Canyon CDP, California",B01003_001,1768,280
0641142,"Lemon Hill CDP, California",B01003_001,14824,1495
0636126,"Hydesville CDP, California",B01003_001,1060,273
0677042,"Sunol CDP, California",B01003_001,920,220
0601651,"Amesti CDP, California",B01003_001,3048,469
0623826,"Felton CDP, California",B01003_001,3701,661
0686244,"Woodcrest CDP, California",B01003_001,17378,2044
0609835,"California Polytechnic State University CDP, California",B01003_001,6983,699
0675322,"Strawberry CDP (Tuolumne County), California",B01003_001,64,74
0644924,"McKittrick CDP, California",B01003_001,93,46
0684536,"West Menlo Park CDP, California",B01003_001,3401,441
0636616,"Inverness CDP, California",B01003_001,1469,316
0630944,"Green Acres CDP, California",B01003_001,3023,1721
0612916,"Cherry Valley CDP, California",B01003_001,7652,1046
0634316,"Homeland CDP, California",B01003_001,6221,1606
0639598,"Lakeland Village CDP, California",B01003_001,10565,1515
0654218,"Orick CDP, California",B01003_001,308,136
0648060,"Miranda CDP, California",B01003_001,656,452
0630686,"Grangeville CDP, California",B01003_001,244,162
0657666,"Platina CDP, California",B01003_001,25,38
0644168,"Los Olivos CDP, California",B01003_001,1020,270
0682852,"Vineyard CDP, California",B01003_001,42657,2425
0624477,"Florence-Graham CDP, California",B01003_001,63132,2466
0686174,"Wofford Heights CDP, California",B01003_001,2267,503
0611696,"Casa Loma CDP, California",B01003_001,1431,513
